Team,Wins
D.J.Carton,"{0: ""                   Pass To  FREQ\xa0M%\n0             Dick, Gradey      9.1\n1   Freeman-Liberty, Javon      9.1\n2            Agbaji, Ochai      1.8\n3       Quickley, Immanuel      5.5\n4         Ramsey, Jahmi'us      3.6\n5            Nwora, Jordan     16.4\n6         McDaniels, Jalen      3.6\n7              Barrett, RJ     10.9\n8           Porter, Jontay     18.2\n9           Boucher, Chris      3.6\n10           Olynyk, Kelly     18.2"", 1: ""                 Pass From  FREQ\xa0R%\n0             Dick, Gradey      6.7\n1        Gueye, Mouhamadou      1.7\n2   Freeman-Liberty, Javon      5.0\n3            Agbaji, Ochai      3.3\n4       Quickley, Immanuel      3.3\n5         Ramsey, Jahmi'us      3.3\n6            Nwora, Jordan     20.0\n7         McDaniels, Jalen      1.7\n8              Barrett, RJ     10.0\n9           Porter, Jontay     11.7\n10            Brown, Bruce      1.7\n11          Boucher, Chris      8.3\n12           Poeltl, Jakob      1.7\n13           Olynyk, Kelly     21.7""}"
AlexCaruso,"{0: '              Pass To  FREQ\xa0M%\n0      Bitim, Onuralp      0.6\n1    Phillips, Julian      0.3\n2        Terry, Dalen      1.8\n3       Taylor, Terry      0.3\n4        Dosunmu, Ayo     12.6\n5   Williams, Patrick      2.8\n6      Green, Javonte      0.6\n7         White, Coby     23.3\n8       Carter, Jevon      3.9\n9       Craig, Torrey      1.7\n10       LaVine, Zach      5.2\n11    Drummond, Andre      4.5\n12    Vucevic, Nikola     16.9\n13     DeRozan, DeMar     25.5', 1: '            Pass From  FREQ\xa0R%\n0      Bitim, Onuralp      0.9\n1    Phillips, Julian      0.6\n2        Terry, Dalen      3.1\n3       Taylor, Terry      0.6\n4        Dosunmu, Ayo     12.2\n5   Williams, Patrick      4.1\n6      Green, Javonte      2.1\n7         White, Coby     20.2\n8       Carter, Jevon      4.5\n9       Craig, Torrey      3.6\n10       LaVine, Zach      4.4\n11    Drummond, Andre      6.9\n12    Vucevic, Nikola     19.3\n13     DeRozan, DeMar     17.5'}"
ColinCastleton,"{0: ""                 Pass To  FREQ\xa0M%\n0           Hodge, D'Moi      7.9\n1         Lewis, Maxwell     12.7\n2   Hood-Schifino, Jalen     17.5\n3          Christie, Max     33.3\n4         Reaves, Austin      1.6\n5           Mays, Skylar      1.6\n6         Windler, Dylan      1.6\n7          Hayes, Jaxson      1.6\n8           Reddish, Cam      6.3\n9          Vincent, Gabe      3.2\n10        Hachimura, Rui      4.8\n11       Wood, Christian      1.6\n12     Russell, D'Angelo      4.8\n13    Dinwiddie, Spencer      1.6"", 1: ""               Pass From  FREQ\xa0R%\n0           Hodge, D'Moi     13.2\n1         Lewis, Maxwell     13.2\n2   Hood-Schifino, Jalen     10.5\n3          Christie, Max     34.2\n4         Windler, Dylan      2.6\n5          Hayes, Jaxson      2.6\n6           Reddish, Cam     10.5\n7        Prince, Taurean      5.3\n8        Wood, Christian      2.6\n9      Russell, D'Angelo      2.6\n10    Dinwiddie, Spencer      2.6""}"
JulianChampagnie,"{0: ""                   Pass To  FREQ\xa0M%\n0       Wembanyama, Victor     13.2\n1            Cissoko, Sidy      0.7\n2         Barlow, Dominick      1.3\n3          Bouyea, Jamaree      0.2\n4           Sochan, Jeremy     12.0\n5            Wesley, Blake      7.2\n6          Branham, Malaki      7.0\n7   Mamukelashvili, Sandro      3.1\n8          Duke Jr., David      0.2\n9               Jones, Tre     31.2\n10          Vassell, Devin      8.3\n11         Bassey, Charles      0.1\n12         Johnson, Keldon      3.6\n13         Diakite, Mamadi      0.1\n14        Graham, Devonte'      4.2\n15           Collins, Zach      5.0\n16             Osman, Cedi      1.8\n17         McDermott, Doug      0.8"", 1: ""                 Pass From  FREQ\xa0R%\n0       Wembanyama, Victor     14.4\n1            Cissoko, Sidy      0.9\n2         Barlow, Dominick      2.3\n3          Bouyea, Jamaree      0.2\n4           Sochan, Jeremy      9.5\n5            Wesley, Blake      6.9\n6          Branham, Malaki      5.1\n7   Mamukelashvili, Sandro      4.3\n8            Gray, RaiQuan      0.1\n9          Duke Jr., David      0.3\n10              Jones, Tre     27.0\n11          Vassell, Devin     11.1\n12         Bassey, Charles      0.6\n13         Johnson, Keldon      4.0\n14         Diakite, Mamadi      0.1\n15        Graham, Devonte'      4.1\n16           Collins, Zach      6.0\n17             Osman, Cedi      1.9\n18         McDermott, Doug      1.3""}"
JustinChampagnie,"{0: '                 Pass To  FREQ\xa0M%\n0      Vukcevic, Tristan      1.2\n1         Bernard, Jules      5.6\n2   Baldwin Jr., Patrick      7.2\n3          Davis, Johnny      1.2\n4        Omoruyi, Eugene      4.8\n5         Kispert, Corey      5.2\n6          Gill, Anthony      5.2\n7          Butler, Jared     33.1\n8           Avdija, Deni      5.2\n9          Poole, Jordan     26.7\n10    Bagley III, Marvin      1.6\n11           Kuzma, Kyle      1.6\n12       Holmes, Richaun      1.6', 1: '               Pass From  FREQ\xa0R%\n0      Vukcevic, Tristan      2.5\n1       Coulibaly, Bilal      0.6\n2         Bernard, Jules      4.9\n3   Baldwin Jr., Patrick      8.6\n4          Davis, Johnny      4.3\n5        Omoruyi, Eugene     12.3\n6         Kispert, Corey      5.6\n7          Gill, Anthony      9.3\n8          Butler, Jared     22.8\n9           Avdija, Deni      4.3\n10         Poole, Jordan     14.2\n11    Bagley III, Marvin      2.5\n12           Kuzma, Kyle      4.3\n13       Holmes, Richaun      3.7'}"
MaxChristie,"{0: ""                 Pass To  FREQ\xa0M%\n0           Hodge, D'Moi      0.6\n1            Fudge, Alex      0.2\n2         Lewis, Maxwell      1.8\n3   Hood-Schifino, Jalen      3.7\n4          Christie, Max      0.1\n5       Castleton, Colin      1.6\n6         Reaves, Austin     16.9\n7           Mays, Skylar      1.6\n8          Hayes, Jaxson      5.5\n9           Reddish, Cam      1.8\n10         Vincent, Gabe      0.1\n11        Hachimura, Rui      4.9\n12    Vanderbilt, Jarred      1.4\n13       Prince, Taurean      6.4\n14       Wood, Christian      5.0\n15     Russell, D'Angelo     21.2\n16    Dinwiddie, Spencer      3.5\n17        Davis, Anthony      8.5\n18         James, LeBron     15.0"", 1: ""               Pass From  FREQ\xa0R%\n0           Hodge, D'Moi      0.7\n1            Fudge, Alex      0.1\n2         Lewis, Maxwell      1.7\n3   Hood-Schifino, Jalen      3.3\n4          Christie, Max      0.1\n5       Castleton, Colin      2.8\n6         Reaves, Austin     13.1\n7           Mays, Skylar      2.0\n8         Windler, Dylan      0.4\n9          Hayes, Jaxson      7.1\n10          Reddish, Cam      1.9\n11         Vincent, Gabe      0.1\n12        Hachimura, Rui      5.2\n13    Vanderbilt, Jarred      2.3\n14      Giles III, Harry      0.4\n15       Prince, Taurean      5.2\n16       Wood, Christian      6.4\n17     Russell, D'Angelo     18.6\n18    Dinwiddie, Spencer      2.3\n19        Davis, Anthony     11.4\n20         James, LeBron     14.7""}"
SidyCissoko,"{0: ""                   Pass To  FREQ\xa0M%\n0       Wembanyama, Victor      2.5\n1         Barlow, Dominick      0.8\n2          Bouyea, Jamaree      6.7\n3            Wesley, Blake     25.0\n4          Branham, Malaki      4.2\n5       Champagnie, Julian      8.3\n6   Mamukelashvili, Sandro      5.8\n7            Gray, RaiQuan      5.0\n8          Duke Jr., David      1.7\n9               Jones, Tre     20.0\n10          Vassell, Devin      0.8\n11         Johnson, Keldon      1.7\n12        Graham, Devonte'     12.5\n13           Collins, Zach      5.0"", 1: ""                 Pass From  FREQ\xa0R%\n0       Wembanyama, Victor      1.0\n1         Barlow, Dominick      1.0\n2          Bouyea, Jamaree      5.9\n3            Wesley, Blake     16.7\n4          Branham, Malaki      2.9\n5       Champagnie, Julian      8.8\n6   Mamukelashvili, Sandro      4.9\n7            Gray, RaiQuan      8.8\n8          Duke Jr., David      5.9\n9               Jones, Tre     11.8\n10        Graham, Devonte'     24.5\n11           Collins, Zach      7.8""}"
BrandonClarke,"{0: '               Pass To  FREQ\xa0M%\n0        Jemison, Trey      3.1\n1    Pereira, Maozinha      0.8\n2         Allen, Timmy      5.4\n3          Jackson, GG     13.2\n4        LaRavia, Jake      7.0\n5      Goodwin, Jordan     16.3\n6       Jarreau, DeJon      0.8\n7   Pippen Jr., Scotty      7.0\n8        Aldama, Santi      0.8\n9      Simpson, Zavier     12.4\n10       Bane, Desmond      5.4\n11      Stevens, Lamar      8.5\n12  Jackson Jr., Jaren      4.7\n13       Kennard, Luke     14.7', 1: '             Pass From  FREQ\xa0R%\n0        Jemison, Trey      3.5\n1    Pereira, Maozinha      0.7\n2         Allen, Timmy      2.1\n3          Jackson, GG     14.1\n4          White, Jack      0.7\n5        LaRavia, Jake      4.9\n6      Goodwin, Jordan     23.9\n7       Jarreau, DeJon      1.4\n8   Pippen Jr., Scotty      6.3\n9      Simpson, Zavier     13.4\n10       Bane, Desmond      4.9\n11      Stevens, Lamar      5.6\n12  Jackson Jr., Jaren      2.8\n13       Kennard, Luke     15.5'}"
JordanClarkson,"{0: '                 Pass To  FREQ\xa0M%\n0      Sensabaugh, Brice      1.1\n1        George, Keyonte     24.2\n2      Hendricks, Taylor      0.6\n3     Fontecchio, Simone      4.5\n4        Kessler, Walker      6.3\n5          Potter, Micah      0.1\n6         Juzang, Johnny      0.6\n7          Agbaji, Ochai      3.5\n8        Yurtseven, Omer      0.4\n9          Samanic, Luka      0.9\n10  Horton-Tucker, Talen      6.6\n11        Sexton, Collin      9.5\n12         Collins, John     10.6\n13      Markkanen, Lauri     13.8\n14            Dunn, Kris      5.8\n15         Olynyk, Kelly     11.6', 1: '               Pass From  FREQ\xa0R%\n0      Sensabaugh, Brice      1.0\n1        George, Keyonte     31.0\n2      Hendricks, Taylor      0.7\n3     Fontecchio, Simone      2.7\n4        Kessler, Walker      7.7\n5          Potter, Micah      0.2\n6         Juzang, Johnny      0.4\n7          Agbaji, Ochai      3.5\n8        Yurtseven, Omer      0.8\n9          Samanic, Luka      0.4\n10  Horton-Tucker, Talen      7.1\n11        Sexton, Collin      9.1\n12         Collins, John      8.6\n13      Markkanen, Lauri      7.2\n14            Dunn, Kris      8.6\n15         Olynyk, Kelly     11.1'}"
NicClaxton,"{0: ""                 Pass To  FREQ\xa0M%\n0          Clowney, Noah      0.3\n1         Gilyard, Jacob      0.1\n2          Wilson, Jalen      0.5\n3       Watford, Trendon      2.9\n4            Thomas, Cam     16.8\n5          Johnson, Keon      0.1\n6       Johnson, Cameron      8.1\n7      Walker IV, Lonnie      3.2\n8         Bridges, Mikal     20.9\n9      Smith Jr., Dennis      6.0\n10  Finney-Smith, Dorian      3.4\n11          Simmons, Ben      1.8\n12        O'Neale, Royce      2.7\n13    Dinwiddie, Spencer     16.6\n14      Schroder, Dennis     16.4"", 1: ""               Pass From  FREQ\xa0R%\n0          Clowney, Noah      0.2\n1         Gilyard, Jacob      0.1\n2          Wilson, Jalen      1.0\n3       Watford, Trendon      4.6\n4            Thomas, Cam     13.6\n5          Johnson, Keon      0.1\n6       Johnson, Cameron      8.3\n7      Walker IV, Lonnie      2.3\n8         Bridges, Mikal     18.1\n9      Smith Jr., Dennis      8.9\n10  Finney-Smith, Dorian      6.0\n11          Simmons, Ben      1.6\n12        O'Neale, Royce      2.1\n13    Dinwiddie, Spencer     15.8\n14      Schroder, Dennis     17.6""}"
NoahClowney,"{0: ""                 Pass To  FREQ\xa0M%\n0       Whitehead, Dariq      0.3\n1         Gilyard, Jacob      3.9\n2          Wilson, Jalen      5.8\n3       Watford, Trendon     17.7\n4            Thomas, Cam     14.8\n5          Johnson, Keon      1.9\n6        Sharpe, Day'Ron      1.3\n7         Brooks, Armoni      2.9\n8       Johnson, Cameron      2.6\n9           Claxton, Nic      1.0\n10     Walker IV, Lonnie      5.8\n11        Bridges, Mikal     10.6\n12     Bates-Diop, Keita      1.0\n13     Smith Jr., Dennis      7.7\n14  Finney-Smith, Dorian      1.3\n15          Simmons, Ben      0.3\n16    Dinwiddie, Spencer      0.6\n17      Schroder, Dennis     20.3"", 1: ""               Pass From  FREQ\xa0R%\n0       Whitehead, Dariq      1.2\n1         Gilyard, Jacob      2.0\n2          Wilson, Jalen      4.9\n3       Watford, Trendon     17.9\n4            Thomas, Cam      5.7\n5          Johnson, Keon      2.0\n6        Sharpe, Day'Ron      1.6\n7         Brooks, Armoni      4.5\n8       Johnson, Cameron      5.3\n9           Claxton, Nic      2.8\n10     Walker IV, Lonnie      4.9\n11        Bridges, Mikal     16.7\n12     Bates-Diop, Keita      0.4\n13     Smith Jr., Dennis      9.3\n14  Finney-Smith, Dorian      2.0\n15      Schroder, Dennis     18.7""}"
AmirCoffey,"{0: '                Pass To  FREQ\xa0M%\n0        Miller, Jordan      0.2\n1           Brown, Kobe      2.0\n2       Diabate, Moussa      0.6\n3         Hyland, Bones      9.8\n4   Boston Jr., Brandon      2.7\n5            Martin, KJ      0.2\n6          Moon, Xavier      2.4\n7         Mann, Terance      7.0\n8         Theis, Daniel      6.3\n9          Zubac, Ivica      3.1\n10       Powell, Norman      7.4\n11       Plumlee, Mason      3.2\n12       Leonard, Kawhi      9.8\n13         George, Paul      6.5\n14        Harden, James     23.0\n15   Westbrook, Russell     14.6\n16         Tucker, P.J.      1.0', 1: '              Pass From  FREQ\xa0R%\n0        Miller, Jordan      0.4\n1           Brown, Kobe      2.4\n2       Diabate, Moussa      0.8\n3         Hyland, Bones      8.5\n4   Boston Jr., Brandon      3.6\n5            Martin, KJ      0.3\n6          Moon, Xavier      3.5\n7         Mann, Terance      6.6\n8         Theis, Daniel      5.4\n9          Zubac, Ivica      4.2\n10       Powell, Norman      7.7\n11       Plumlee, Mason      5.1\n12       Leonard, Kawhi     10.5\n13         George, Paul      7.0\n14        Harden, James     21.4\n15   Westbrook, Russell     11.0\n16         Tucker, P.J.      1.5'}"
ZachCollins,"{0: ""                   Pass To  FREQ\xa0M%\n0       Wembanyama, Victor      6.2\n1            Cissoko, Sidy      0.4\n2          Bouyea, Jamaree      0.1\n3           Sochan, Jeremy     14.0\n4            Wesley, Blake      9.4\n5          Branham, Malaki      7.8\n6       Champagnie, Julian      3.6\n7   Mamukelashvili, Sandro      1.4\n8            Gray, RaiQuan      0.1\n9          Duke Jr., David      0.2\n10              Jones, Tre     18.8\n11          Vassell, Devin     15.9\n12         Johnson, Keldon     11.8\n13        Graham, Devonte'      2.4\n14             Osman, Cedi      4.8\n15         McDermott, Doug      3.2"", 1: ""                 Pass From  FREQ\xa0R%\n0       Wembanyama, Victor      4.0\n1            Cissoko, Sidy      0.3\n2         Barlow, Dominick      0.1\n3          Bouyea, Jamaree      0.1\n4           Sochan, Jeremy     17.1\n5            Wesley, Blake      8.8\n6          Branham, Malaki      9.9\n7       Champagnie, Julian      3.7\n8   Mamukelashvili, Sandro      0.9\n9            Gray, RaiQuan      0.1\n10         Duke Jr., David      0.1\n11              Jones, Tre     17.8\n12          Vassell, Devin     15.9\n13         Johnson, Keldon     10.6\n14        Graham, Devonte'      3.1\n15             Osman, Cedi      4.7\n16         McDermott, Doug      3.0""}"
MikeConley,"{0: '                      Pass To  FREQ\xa0M%\n0                 Garza, Luka      0.2\n1            McDaniels, Jaden     12.5\n2            Edwards, Anthony     24.8\n3                   Reid, Naz      8.2\n4   Alexander-Walker, Nickeil      6.8\n5          McLaughlin, Jordan      3.1\n6               Milton, Shake      1.9\n7             Brown Jr., Troy      1.8\n8               Morris, Monte      1.0\n9         Towns, Karl-Anthony     16.1\n10             Anderson, Kyle      9.5\n11               Warren, T.J.      0.2\n12               Gobert, Rudy     13.8', 1: '                    Pass From  FREQ\xa0R%\n0                 Garza, Luka      0.2\n1            McDaniels, Jaden     11.3\n2            Edwards, Anthony     19.0\n3                   Reid, Naz     10.0\n4   Alexander-Walker, Nickeil      7.7\n5          McLaughlin, Jordan      4.0\n6               Milton, Shake      1.7\n7             Brown Jr., Troy      1.6\n8               Morris, Monte      1.1\n9         Towns, Karl-Anthony     11.2\n10             Anderson, Kyle      9.0\n11               Warren, T.J.      0.2\n12               Gobert, Rudy     23.0'}"
PatConnaughton,"{0: '                    Pass To  FREQ\xa0M%\n0         Livingston, Chris      0.4\n1        Jackson Jr., Andre      0.9\n2                 Green, AJ      3.7\n3         Beauchamp, MarJon      1.6\n4            Beasley, Malik      5.8\n5             Portis, Bobby     13.9\n6            Payne, Cameron      6.9\n7   Antetokounmpo, Thanasis      0.6\n8    Antetokounmpo, Giannis     22.1\n9          Middleton, Khris      5.6\n10             Crowder, Jae      4.1\n11          Lillard, Damian     23.0\n12        Beverley, Patrick      4.8\n13             Lopez, Robin      0.3\n14             Lopez, Brook      4.8\n15        Gallinari, Danilo      1.8', 1: '                  Pass From  FREQ\xa0R%\n0         Livingston, Chris      0.5\n1        Jackson Jr., Andre      2.5\n2                 Green, AJ      4.4\n3         Beauchamp, MarJon      2.0\n4            Beasley, Malik      4.8\n5             Portis, Bobby     18.1\n6            Payne, Cameron      6.6\n7   Antetokounmpo, Thanasis      0.7\n8    Antetokounmpo, Giannis     22.1\n9          Middleton, Khris      4.1\n10             Crowder, Jae      5.2\n11          Lillard, Damian     15.0\n12        Beverley, Patrick      6.1\n13             Lopez, Robin      0.3\n14             Lopez, Brook      4.9\n15        Gallinari, Danilo      2.7'}"
